ID,Domain,Difficulty_Level,Question,Reference_Answer
1,Core CS & OS,Medium,Could you explain this: Explain the concept of a zombie process.,A zombie process is a child process that has finished execution but still has an entry in the process table because its parent hasn't read its exit status using wait().
2,Core CS & OS,Easy,Interview Question: What is a segmentation fault?,It is a memory access error that occurs when a program tries to read or write to a memory location it is not allowed to access.
3,Core CS & OS,Medium,Candidate prompt: Explain the concept of a zombie process.,A zombie process is a child process that has finished execution but still has an entry in the process table because its parent hasn't read its exit status using wait().
4,Data Structures & Algorithms,Hard,Could you explain this: How are nodes placed in a Huffman coding tree during construction?,"Nodes are merged based on frequency. When comparing two nodes, the one with the greater frequency (e.g., if 'b' is greater than 'c') is placed on the right branch."
5,Core CS & OS,Medium,Could you explain this: What is the primary difference in memory management between C and C++?,"C uses malloc() and free() for raw memory allocation, while C++ uses new and delete, which additionally handle the invocation of object constructors and destructors."
6,AI/ML,Hard,Interview Question: How can chemical structures be processed by machine learning models?,"Chemical structures are often represented using SMILES notation, which can be converted into Morgan fingerprints (numerical arrays) to train models for tasks like reaction prediction."
7,Data Structures & Algorithms,Medium,Candidate prompt: Explain the core logic of the Job Selection problem.,"In Job Selection, the time taken to do each job is exactly 1 unit. You sort jobs by profit and assign them to the latest available time slot before their deadline."
8,Data Structures & Algorithms,Easy,"Define and explain: In a hash table of size 10, how is out-of-bounds indexing prevented?","The hash function must restrict outputs to valid indices (0 to 9). If the size is 10, an index like 12 cannot be present; a modulo operator handles this mapping."
9,Core CS & OS,Easy,Could you explain this: What is a segmentation fault?,It is a memory access error that occurs when a program tries to read or write to a memory location it is not allowed to access.
10,Core CS & OS,Easy,What is a segmentation fault?,It is a memory access error that occurs when a program tries to read or write to a memory location it is not allowed to access.
11,AI/ML,Medium,Could you explain this: How does a Random Forest Classifier make predictions?,"It trains multiple decision trees on subsets of the data and aggregates their outputs (e.g., via majority voting for classification) to improve accuracy and prevent overfitting."
12,Data Structures & Algorithms,Medium,Define and explain: What is the primary characteristic of an AVL tree?,It is a self-balancing binary search tree where the height difference between the left and right subtrees of any node is at most 1.
13,Data Structures & Algorithms,Medium,Please answer the following: What is the primary characteristic of an AVL tree?,It is a self-balancing binary search tree where the height difference between the left and right subtrees of any node is at most 1.
14,Core CS & OS,Easy,Interview Question: What is a segmentation fault?,It is a memory access error that occurs when a program tries to read or write to a memory location it is not allowed to access.
15,Data Structures & Algorithms,Medium,What is the primary characteristic of an AVL tree?,It is a self-balancing binary search tree where the height difference between the left and right subtrees of any node is at most 1.
16,Data Structures & Algorithms,Medium,Candidate prompt: Explain the core logic of the Job Selection problem.,"In Job Selection, the time taken to do each job is exactly 1 unit. You sort jobs by profit and assign them to the latest available time slot before their deadline."
17,AI/ML,Hard,How can chemical structures be processed by machine learning models?,"Chemical structures are often represented using SMILES notation, which can be converted into Morgan fingerprints (numerical arrays) to train models for tasks like reaction prediction."
18,AI/ML,Hard,Interview Question: How can chemical structures be processed by machine learning models?,"Chemical structures are often represented using SMILES notation, which can be converted into Morgan fingerprints (numerical arrays) to train models for tasks like reaction prediction."
19,Behavioral,Medium,Define and explain: How do you handle missing deadlines on a collaborative project?,"I communicate the issue early to the team, take responsibility, and propose a revised timeline or ask for assistance to mitigate the impact."
20,Data Structures & Algorithms,Easy,"Please answer the following: In a hash table of size 10, how is out-of-bounds indexing prevented?","The hash function must restrict outputs to valid indices (0 to 9). If the size is 10, an index like 12 cannot be present; a modulo operator handles this mapping."
21,Core CS & OS,Medium,What is the primary difference in memory management between C and C++?,"C uses malloc() and free() for raw memory allocation, while C++ uses new and delete, which additionally handle the invocation of object constructors and destructors."
22,Data Structures & Algorithms,Hard,Define and explain: How are nodes placed in a Huffman coding tree during construction?,"Nodes are merged based on frequency. When comparing two nodes, the one with the greater frequency (e.g., if 'b' is greater than 'c') is placed on the right branch."
23,Data Structures & Algorithms,Medium,What is the primary characteristic of an AVL tree?,It is a self-balancing binary search tree where the height difference between the left and right subtrees of any node is at most 1.
24,Data Structures & Algorithms,Medium,Candidate prompt: What is the time complexity of searching in a max heap?,Searching for an arbitrary element in a max heap takes O(n) time because heaps are not completely sorted like BSTs.
25,Data Structures & Algorithms,Easy,"In a hash table of size 10, how is out-of-bounds indexing prevented?","The hash function must restrict outputs to valid indices (0 to 9). If the size is 10, an index like 12 cannot be present; a modulo operator handles this mapping."
26,Core CS & OS,Medium,Interview Question: Explain the concept of a zombie process.,A zombie process is a child process that has finished execution but still has an entry in the process table because its parent hasn't read its exit status using wait().
27,Core CS & OS,Easy,Define and explain: What is a segmentation fault?,It is a memory access error that occurs when a program tries to read or write to a memory location it is not allowed to access.
28,AI/ML,Medium,Define and explain: What is the purpose of an activation function in a neural network?,"It introduces non-linearity into the network, allowing it to learn complex patterns instead of just linear transformations."
29,Data Structures & Algorithms,Medium,Please answer the following: What is the primary characteristic of an AVL tree?,It is a self-balancing binary search tree where the height difference between the left and right subtrees of any node is at most 1.
30,AI/ML,Hard,Could you explain this: How can chemical structures be processed by machine learning models?,"Chemical structures are often represented using SMILES notation, which can be converted into Morgan fingerprints (numerical arrays) to train models for tasks like reaction prediction."
31,Core CS & OS,Hard,"Describe the interaction between fork(), exec(), and wait() in C.",fork() creates a duplicate child process. exec() replaces the child's memory space with a new program. wait() is used by the parent process to pause execution until the child terminates.
32,AI/ML,Hard,Interview Question: How can chemical structures be processed by machine learning models?,"Chemical structures are often represented using SMILES notation, which can be converted into Morgan fingerprints (numerical arrays) to train models for tasks like reaction prediction."
33,AI/ML,Medium,Candidate prompt: What is the purpose of an activation function in a neural network?,"It introduces non-linearity into the network, allowing it to learn complex patterns instead of just linear transformations."
34,Data Structures & Algorithms,Easy,"Interview Question: In a hash table of size 10, how is out-of-bounds indexing prevented?","The hash function must restrict outputs to valid indices (0 to 9). If the size is 10, an index like 12 cannot be present; a modulo operator handles this mapping."
35,AI/ML,Medium,Define and explain: What is the purpose of an activation function in a neural network?,"It introduces non-linearity into the network, allowing it to learn complex patterns instead of just linear transformations."
36,AI/ML,Hard,How can chemical structures be processed by machine learning models?,"Chemical structures are often represented using SMILES notation, which can be converted into Morgan fingerprints (numerical arrays) to train models for tasks like reaction prediction."
37,Data Structures & Algorithms,Hard,Please answer the following: How are nodes placed in a Huffman coding tree during construction?,"Nodes are merged based on frequency. When comparing two nodes, the one with the greater frequency (e.g., if 'b' is greater than 'c') is placed on the right branch."
38,AI/ML,Easy,Candidate prompt: What is the difference between Data Science and Machine Learning?,"Data Science is a broader field focused on extracting insights using statistics and analytics, whereas Machine Learning is a subset focused on building algorithms that learn from data to make predictions."
39,AI/ML,Hard,Could you explain this: How can chemical structures be processed by machine learning models?,"Chemical structures are often represented using SMILES notation, which can be converted into Morgan fingerprints (numerical arrays) to train models for tasks like reaction prediction."
40,Core CS & OS,Medium,Define and explain: What is the primary difference in memory management between C and C++?,"C uses malloc() and free() for raw memory allocation, while C++ uses new and delete, which additionally handle the invocation of object constructors and destructors."
41,Core CS & OS,Easy,What is a segmentation fault?,It is a memory access error that occurs when a program tries to read or write to a memory location it is not allowed to access.
42,Core CS & OS,Hard,"Interview Question: Describe the interaction between fork(), exec(), and wait() in C.",fork() creates a duplicate child process. exec() replaces the child's memory space with a new program. wait() is used by the parent process to pause execution until the child terminates.
43,Core CS & OS,Hard,"Describe the interaction between fork(), exec(), and wait() in C.",fork() creates a duplicate child process. exec() replaces the child's memory space with a new program. wait() is used by the parent process to pause execution until the child terminates.
44,Data Structures & Algorithms,Medium,Interview Question: What is the time complexity of searching in a max heap?,Searching for an arbitrary element in a max heap takes O(n) time because heaps are not completely sorted like BSTs.
45,AI/ML,Medium,Define and explain: How does a Random Forest Classifier make predictions?,"It trains multiple decision trees on subsets of the data and aggregates their outputs (e.g., via majority voting for classification) to improve accuracy and prevent overfitting."
46,Data Structures & Algorithms,Hard,Please answer the following: How are nodes placed in a Huffman coding tree during construction?,"Nodes are merged based on frequency. When comparing two nodes, the one with the greater frequency (e.g., if 'b' is greater than 'c') is placed on the right branch."
47,AI/ML,Hard,Please answer the following: How can chemical structures be processed by machine learning models?,"Chemical structures are often represented using SMILES notation, which can be converted into Morgan fingerprints (numerical arrays) to train models for tasks like reaction prediction."
48,AI/ML,Hard,How can chemical structures be processed by machine learning models?,"Chemical structures are often represented using SMILES notation, which can be converted into Morgan fingerprints (numerical arrays) to train models for tasks like reaction prediction."
49,Data Structures & Algorithms,Medium,Define and explain: Explain the core logic of the Job Selection problem.,"In Job Selection, the time taken to do each job is exactly 1 unit. You sort jobs by profit and assign them to the latest available time slot before their deadline."
50,Data Structures & Algorithms,Medium,Could you explain this: What is the time complexity of searching in a max heap?,Searching for an arbitrary element in a max heap takes O(n) time because heaps are not completely sorted like BSTs.
51,Core CS & OS,Easy,Define and explain: What is a segmentation fault?,It is a memory access error that occurs when a program tries to read or write to a memory location it is not allowed to access.
52,Core CS & OS,Medium,Candidate prompt: What is the primary difference in memory management between C and C++?,"C uses malloc() and free() for raw memory allocation, while C++ uses new and delete, which additionally handle the invocation of object constructors and destructors."
53,AI/ML,Easy,Define and explain: What is the difference between Data Science and Machine Learning?,"Data Science is a broader field focused on extracting insights using statistics and analytics, whereas Machine Learning is a subset focused on building algorithms that learn from data to make predictions."
54,Data Structures & Algorithms,Easy,"In a hash table of size 10, how is out-of-bounds indexing prevented?","The hash function must restrict outputs to valid indices (0 to 9). If the size is 10, an index like 12 cannot be present; a modulo operator handles this mapping."
55,Core CS & OS,Medium,Candidate prompt: What is the primary difference in memory management between C and C++?,"C uses malloc() and free() for raw memory allocation, while C++ uses new and delete, which additionally handle the invocation of object constructors and destructors."
56,Core CS & OS,Hard,"Describe the interaction between fork(), exec(), and wait() in C.",fork() creates a duplicate child process. exec() replaces the child's memory space with a new program. wait() is used by the parent process to pause execution until the child terminates.
57,Data Structures & Algorithms,Easy,"Candidate prompt: In a hash table of size 10, how is out-of-bounds indexing prevented?","The hash function must restrict outputs to valid indices (0 to 9). If the size is 10, an index like 12 cannot be present; a modulo operator handles this mapping."
58,Core CS & OS,Hard,"Interview Question: Describe the interaction between fork(), exec(), and wait() in C.",fork() creates a duplicate child process. exec() replaces the child's memory space with a new program. wait() is used by the parent process to pause execution until the child terminates.
59,Data Structures & Algorithms,Easy,"Define and explain: In a hash table of size 10, how is out-of-bounds indexing prevented?","The hash function must restrict outputs to valid indices (0 to 9). If the size is 10, an index like 12 cannot be present; a modulo operator handles this mapping."
60,AI/ML,Hard,Could you explain this: How can chemical structures be processed by machine learning models?,"Chemical structures are often represented using SMILES notation, which can be converted into Morgan fingerprints (numerical arrays) to train models for tasks like reaction prediction."
61,Data Structures & Algorithms,Easy,"Could you explain this: In a hash table of size 10, how is out-of-bounds indexing prevented?","The hash function must restrict outputs to valid indices (0 to 9). If the size is 10, an index like 12 cannot be present; a modulo operator handles this mapping."
62,Behavioral,Medium,Could you explain this: How do you handle missing deadlines on a collaborative project?,"I communicate the issue early to the team, take responsibility, and propose a revised timeline or ask for assistance to mitigate the impact."
63,Behavioral,Medium,Interview Question: Describe a time you solved a complex technical bug.,"I break down the problem, isolate the components, use debugging tools to trace the logic step-by-step, and consult documentation or peers if needed."
64,Core CS & OS,Medium,Define and explain: What is the primary difference in memory management between C and C++?,"C uses malloc() and free() for raw memory allocation, while C++ uses new and delete, which additionally handle the invocation of object constructors and destructors."
65,AI/ML,Hard,Could you explain this: How can chemical structures be processed by machine learning models?,"Chemical structures are often represented using SMILES notation, which can be converted into Morgan fingerprints (numerical arrays) to train models for tasks like reaction prediction."
66,Behavioral,Medium,Candidate prompt: Describe a time you solved a complex technical bug.,"I break down the problem, isolate the components, use debugging tools to trace the logic step-by-step, and consult documentation or peers if needed."
67,Core CS & OS,Medium,Could you explain this: What is the primary difference in memory management between C and C++?,"C uses malloc() and free() for raw memory allocation, while C++ uses new and delete, which additionally handle the invocation of object constructors and destructors."
68,Core CS & OS,Hard,"Define and explain: Describe the interaction between fork(), exec(), and wait() in C.",fork() creates a duplicate child process. exec() replaces the child's memory space with a new program. wait() is used by the parent process to pause execution until the child terminates.
69,AI/ML,Medium,Please answer the following: How does a Random Forest Classifier make predictions?,"It trains multiple decision trees on subsets of the data and aggregates their outputs (e.g., via majority voting for classification) to improve accuracy and prevent overfitting."
70,AI/ML,Medium,How does a Random Forest Classifier make predictions?,"It trains multiple decision trees on subsets of the data and aggregates their outputs (e.g., via majority voting for classification) to improve accuracy and prevent overfitting."
71,Core CS & OS,Hard,"Candidate prompt: Describe the interaction between fork(), exec(), and wait() in C.",fork() creates a duplicate child process. exec() replaces the child's memory space with a new program. wait() is used by the parent process to pause execution until the child terminates.
72,Behavioral,Medium,Interview Question: How do you handle missing deadlines on a collaborative project?,"I communicate the issue early to the team, take responsibility, and propose a revised timeline or ask for assistance to mitigate the impact."
73,Data Structures & Algorithms,Medium,Could you explain this: What is the primary characteristic of an AVL tree?,It is a self-balancing binary search tree where the height difference between the left and right subtrees of any node is at most 1.
74,Behavioral,Medium,Describe a time you solved a complex technical bug.,"I break down the problem, isolate the components, use debugging tools to trace the logic step-by-step, and consult documentation or peers if needed."
